"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 10- 04","3,749.50","3,702.50","3,760.75","3,700.25","345.22K","1.61%"
"2022- 10- 03","3,690.25","3,593.25","3,711.75","3,571.75","25.27K","2.46%"
"2022- 09- 30","3,601.50","3,656.50","3,693.75","3,595.25","2.98M","-1.44%"
"2022- 09- 29","3,654.25","3,730.25","3,736.00","3,622.00","2.86M","-2.08%"
"2022- 09- 28","3,732.00","3,668.50","3,751.25","3,613.00","2.78M","1.94%"
"2022- 09- 27","3,661.00","3,668.00","3,733.00","3,635.25","2.96M","-0.25%"
"2022- 09- 26","3,670.00","3,705.25","3,730.50","3,657.50","2.90M","-1.05%"
"2022- 09- 23","3,709.00","3,777.25","3,783.25","3,660.25","2.91M","-1.67%"
"2022- 09- 22","3,772.00","3,794.00","3,833.00","3,763.50","2.58M","-0.90%"
"2022- 09- 21","3,806.25","3,878.75","3,925.25","3,792.00","2.44M","-1.72%"
"2022- 09- 20","3,872.75","3,923.00","3,936.25","3,843.25","2.36M","-1.14%"
"2022- 09- 19","3,917.25","3,889.50","3,927.00","3,846.25","2.10M","1.19%"
"2022- 09- 16","3,871.24","3,888.50","3,888.50","3,846.00","44.59K","-0.79%"
"2022- 09- 15","3,902.00","3,955.00","3,959.50","3,888.00","438.92K","-1.15%"
"2022- 09- 14","3,947.50","3,936.75","3,962.75","3,911.25","662.60K","0.41%"
"2022- 09- 13","3,931.25","4,118.25","4,158.00","3,919.75","1.42M","-4.37%"
"2022- 09- 12","4,110.75","4,077.25","4,119.75","4,062.25","1.72M","1.07%"
"2022- 09- 09","4,067.25","4,010.25","4,077.25","4,005.75","1.68M","1.54%"
"2022- 09- 08","4,005.50","3,980.00","4,011.50","3,942.75","2.36M","0.64%"
"2022- 09- 07","3,980.00","3,907.50","3,988.75","3,883.50","1.96M","1.78%"
"2022- 09- 06","3,910.50","3,929.00","3,963.25","3,886.75","2.36M","-0.72%"
"2022- 09- 05","3,939.00","3,932.75","3,946.00","3,918.75","231.16K","0.15%"
"2022- 09- 04","3,933.00","3,928.75","3,933.75","3,915.50","24.15K","0.22%"
"2022- 09- 02","3,924.50","3,967.50","4,019.25","3,906.00","2.51M","-1.11%"
"2022- 09- 01","3,968.75","3,958.00","3,971.25","3,903.50","2.21M","0.31%"
"2022- 08- 31","3,956.50","3,987.25","4,018.25","3,953.00","2.37M","-0.78%"
"2022- 08- 30","3,987.50","4,035.75","4,072.75","3,964.50","2.56M","-1.09%"
"2022- 08- 29","4,031.25","4,024.00","4,064.00","4,006.75","1.96M","-0.70%"
"2022- 08- 26","4,059.50","4,198.25","4,217.25","4,042.75","2.24M","-3.37%"
"2022- 08- 25","4,201.00","4,148.75","4,202.75","4,143.00","1.64M","1.41%"
"2022- 08- 24","4,142.75","4,128.25","4,158.50","4,110.75","1.35M","0.30%"
"2022- 08- 23","4,130.50","4,147.00","4,161.75","4,118.00","1.58M","-0.26%"
"2022- 08- 22","4,141.25","4,221.00","4,221.50","4,131.50","1.72M","-2.13%"
"2022- 08- 19","4,231.50","4,287.00","4,288.00","4,220.75","1.70M","-1.28%"
"2022- 08- 18","4,286.50","4,279.50","4,295.50","4,258.00","1.37M","0.23%"
"2022- 08- 17","4,276.75","4,309.25","4,315.00","4,255.00","1.64M","-0.72%"
"2022- 08- 16","4,307.75","4,294.50","4,327.50","4,278.75","1.36M","0.22%"
"2022- 08- 15","4,298.25","4,277.00","4,304.75","4,249.00","1.32M","0.40%"
"2022- 08- 12","4,281.00","4,219.25","4,282.75","4,208.25","1.30M","1.69%"
"2022- 08- 11","4,209.75","4,210.75","4,260.50","4,202.75","1.60M","-0.01%"
"2022- 08- 10","4,210.00","4,128.75","4,213.50","4,113.75","1.63M","2.07%"
"2022- 08- 09","4,124.50","4,148.50","4,155.00","4,113.00","1.28M","-0.42%"
"2022- 08- 08","4,141.75","4,149.75","4,188.00","4,129.25","1.54M","-0.12%"
"2022- 08- 05","4,146.75","4,152.00","4,166.25","4,103.75","1.72M","-0.13%"
"2022- 08- 04","4,152.25","4,150.25","4,173.25","4,136.00","1.25M","-0.10%"
